Date,Price
10/31/2020,520.3494032
11/30/2020,524.7642146
12/31/2020,574.7402589
1/31/2021,602.3552461
2/28/2021,593.4155438
3/31/2021,571.4478766
4/30/2021,569.0190013
5/31/2021,545.8955607
6/30/2021,553.4422083
7/31/2021,562.9674521
8/31/2021,570.4807853
9/30/2021,562.4648076
10/31/2021,564.0024522
11/30/2021,582.3739441
12/31/2021,594.9058867
1/31/2022,599.4953259
2/28/2022,588.7455597
3/31/2022,575.045262
4/30/2022,541.2600487
5/31/2022,535.4571412
6/30/2022,543.726841
7/31/2022,549.7000437
8/31/2022,557.592587
9/30/2022,554.9134965
10/31/2022,558.1720724
11/30/2022,563.1980327
12/31/2022,572.3592202
1/31/2023,586.1306276
2/28/2023,575.7779421
3/31/2023,565.1425415
4/30/2023,530.6993584
5/31/2023,526.2513983
6/30/2023,532.8679794
7/31/2023,536.8430572
8/31/2023,539.9380749
9/30/2023,537.456283
10/31/2023,541.5802169
11/30/2023,550.5697804
12/31/2023,555.0671104
1/31/2024,568.059106
2/29/2024,565.981108
3/31/2024,553.9476772
4/30/2024,528.1355094
5/31/2024,524.9593148
6/30/2024,528.705914
7/31/2024,534.8847428
8/31/2024,535.1171913
9/30/2024,534.1692775
